timer,roll,pitch,yaw,accel_x,accel_y,accel_z
 1.08979, 0.20222,-0.59848, 1.35490, 2.52338, 0.47901, 1.99101
 1.09087, 0.20751,-0.60819, 1.30873, 2.58305, 0.56615, 2.00692
 1.09196, 0.21349,-0.61776, 1.26222, 2.64413, 0.65477, 2.02326
 1.09304, 0.22018,-0.62713, 1.21550, 2.70645, 0.74450, 2.04008
 1.09413, 0.22761,-0.63629, 1.16863, 2.76994, 0.83501, 2.05742
 1.09522, 0.23578,-0.64519, 1.12172, 2.82682, 0.91258, 2.07345
 1.09630, 0.30477,-0.65135, 1.00418, 2.88482, 0.98891, 2.09061
 1.10151, 0.31548,-0.65818, 0.95896, 2.96082, 1.07035, 2.11430
 1.10260, 0.32682,-0.66459, 0.91486, 3.04060, 1.14949, 2.13976
 1.10368, 0.33873,-0.67057, 0.87193, 3.12383, 1.22577, 2.16702
 1.10477, 0.35114,-0.67611, 0.83021, 3.21080, 1.29902, 2.19618
 1.10586, 0.36400,-0.68123, 0.78972, 3.30189, 1.36905, 2.22735
 1.10695, 0.37723,-0.68592, 0.75048, 3.39746, 1.43571, 2.26063
 1.10804, 0.39080,-0.69021, 0.71245, 3.49780, 1.49898, 2.29632
 1.10913, 0.40465,-0.69412, 0.67561, 3.60311, 1.55889, 2.33462
 1.11021, 0.41875,-0.69766, 0.63994, 3.71354, 1.61535, 2.37574
 1.11130, 0.43305,-0.70083, 0.60541, 3.81676, 1.65319, 2.41634
 1.11239, 0.53480,-0.68219, 0.47927, 3.92374, 1.68596, 2.45857
 1.11760, 0.54823,-0.68356, 0.45221, 4.07217, 1.70563, 2.52036
 1.11868, 0.56168,-0.68470, 0.42641, 4.22695, 1.71839, 2.58561
 1.11977, 0.57511,-0.68565, 0.40189, 4.38619, 1.72414, 2.65370
 1.12086, 0.58850,-0.68641, 0.37864, 4.54965, 1.72251, 2.72483
 1.12194, 0.60182,-0.68702, 0.35665, 4.71722, 1.71316, 2.79912
 1.12303, 0.61504,-0.68750, 0.33589, 4.88873, 1.69577, 2.87683
 1.12412, 0.62816,-0.68785, 0.31637, 5.06402, 1.67012, 2.95824
 1.12520, 0.64114,-0.68810, 0.29804, 5.24292, 1.63596, 3.04363
 1.12629, 0.65386,-0.68838, 0.28103, 5.42529, 1.59322, 3.13323
 1.12738, 0.66626,-0.68874, 0.26535, 5.59458, 1.53582, 3.22184
 1.12847, 0.77019,-0.64686, 0.15844, 5.76504, 1.47092, 3.31449
 1.13366, 0.77911,-0.64854, 0.15108, 5.96609, 1.36624, 3.44141
 1.13475, 0.78776,-0.65028, 0.14440, 6.16959, 1.25354, 3.57465
 1.13584, 0.79613,-0.65207, 0.13832, 6.37374, 1.13486, 3.71254
 1.13693, 0.80420,-0.65387, 0.13291, 6.57807, 1.01083, 3.85464
 1.13801, 0.81195,-0.65565, 0.12828, 6.77996, 0.88195, 4.00063
 1.13910, 0.81936,-0.65740, 0.12439, 6.97543, 0.74869, 4.15028
 1.14018, 0.82643,-0.65912, 0.12120, 7.16395, 0.61144, 4.30326
 1.14127, 0.83315,-0.66079, 0.11865, 7.34527, 0.47066, 4.45921
 1.14235, 0.83951,-0.66240, 0.11672, 7.51920, 0.32679, 4.61773
 1.14344, 0.84551,-0.66396, 0.11537, 7.64854, 0.18871, 4.76062
 1.14453, 0.92564,-0.60679, 0.03799, 7.76839, 0.05064, 4.90350
 1.14974, 0.92832,-0.60939, 0.04086, 7.88070,-0.10263, 5.05967
 1.15083, 0.93066,-0.61193, 0.04396, 7.98575,-0.25561, 5.21330
 1.15191, 0.93267,-0.61439, 0.04726, 8.08369,-0.40695, 5.36297
 1.15300, 0.93435,-0.61677, 0.05073, 8.17474,-0.55599, 5.50811
 1.15409, 0.93570,-0.61907, 0.05435, 8.25908,-0.70212, 5.64817
 1.15518, 0.93671,-0.62128, 0.05809, 8.33689,-0.84474, 5.78264
 1.15626, 0.93738,-0.62341, 0.06192, 8.40832,-0.98331, 5.91092
 1.15735, 0.93772,-0.62545, 0.06583, 8.47348,-1.11736, 6.03250
 1.15844, 0.93771,-0.62740, 0.06979, 8.53244,-1.24661, 6.14694
 1.15953, 0.99204,-0.54421, 0.00441, 8.55615,-1.33812, 6.22369
 1.16479, 0.98852,-0.54738, 0.00891, 8.57236,-1.42845, 6.27325
 1.16588, 0.98463,-0.55037, 0.01311, 8.58246,-1.51359, 6.31184
 1.16698, 0.98045,-0.55321, 0.01696, 8.58650,-1.59355, 6.33968
 1.16807, 0.97597,-0.55591, 0.02064, 8.58670,-1.66842, 6.35570
 1.16916, 0.97125,-0.55848, 0.02416, 8.58671,-1.73936, 6.36177
 1.17025, 0.96636,-0.56099, 0.02740, 8.58671,-1.80634, 6.35843
 1.17133, 0.96131,-0.56350, 0.03043, 8.58671,-1.87001, 6.34317
 1.17242, 0.95613,-0.56596, 0.03327, 8.58671,-1.93192, 6.31638
 1.17351, 0.95086,-0.56833, 0.03589, 8.58671,-1.99088, 6.27910
 1.17459, 0.94548,-0.57067, 0.03837, 8.58671,-2.04614, 6.23176
 1.17568, 0.93999,-0.57302, 0.04077, 8.58671,-2.08346, 6.16236
 1.17678, 0.95673,-0.51501, 0.00481, 8.58671,-2.11928, 6.08685
 1.18201, 0.95041,-0.51925, 0.00698, 8.58671,-2.16385, 5.98456
 1.18310, 0.94406,-0.52351, 0.00902, 8.58671,-2.20810, 5.87626
 1.18419, 0.93770,-0.52779, 0.01091, 8.58671,-2.25161, 5.76347
 1.18527, 0.93131,-0.53212, 0.01267, 8.58671,-2.29456, 5.64636
 1.18636, 0.92492,-0.53648, 0.01431, 8.58671,-2.33759, 5.52568
 1.18745, 0.91854,-0.54089, 0.01579, 8.58671,-2.38085, 5.40188
 1.18854, 0.91218,-0.54535, 0.01713, 8.58671,-2.42415, 5.27509
 1.18962, 0.90587,-0.54985, 0.01831, 8.58671,-2.46745, 5.14572
 1.19071, 0.89961,-0.55437, 0.01933, 8.58671,-2.50536, 5.03120
 1.19179, 0.91616,-0.46726,-0.03574, 8.58671,-2.54347, 4.91682
 1.19702, 0.90908,-0.47431,-0.03486, 8.58671,-2.59292, 4.78919
 1.19810, 0.90202,-0.48132,-0.03417, 8.58671,-2.64520, 4.66434
 1.19919, 0.89502,-0.48829,-0.03364, 8.58671,-2.69880, 4.54069
 1.20028, 0.88807,-0.49519,-0.03322, 8.58671,-2.75379, 4.41800
 1.20137, 0.88120,-0.50202,-0.03290, 8.58671,-2.80958, 4.29987
 1.20246, 0.87445,-0.50877,-0.03270, 8.58671,-2.86441, 4.18659
 1.20355, 0.86784,-0.51546,-0.03262, 8.58671,-2.91901, 4.07686
 1.20464, 0.86137,-0.52207,-0.03261, 8.58671,-2.97423, 3.97071
 1.20573, 0.85504,-0.52860,-0.03267, 8.58671,-3.02900, 3.86822
 1.20682, 0.84887,-0.53504,-0.03278, 8.58671,-3.08170, 3.76914
 1.20791, 0.86567,-0.46684,-0.08331, 8.58671,-3.12294, 3.69552
 1.21313, 0.85971,-0.47471,-0.08252, 8.57711,-3.16195, 3.62780
 1.21422, 0.85385,-0.48241,-0.08160, 8.56234,-3.19869, 3.56540
 1.21531, 0.84811,-0.48996,-0.08056, 8.54247,-3.23295, 3.50824
 1.21640, 0.84247,-0.49735,-0.07935, 8.51713,-3.26434, 3.45590
 1.21749, 0.83694,-0.50459,-0.07801, 8.48674,-3.29345, 3.40869
 1.21857, 0.83154,-0.51164,-0.07656, 8.45090,-3.31988, 3.36620
 1.21966, 0.82624,-0.51847,-0.07498, 8.40955,-3.34277, 3.32844
 1.22075, 0.82103,-0.52507,-0.07325, 8.36283,-3.36210, 3.29591
 1.22184, 0.81590,-0.53144,-0.07136, 8.31094,-3.37813, 3.26892
 1.22292, 0.81087,-0.53760,-0.06927, 8.25415,-3.38051, 3.26136
 1.22401, 0.83463,-0.47182,-0.11652, 8.19291,-3.37889, 3.25847
 1.22924, 0.82941,-0.47876,-0.11272, 8.10963,-3.36142, 3.26536
 1.23032, 0.82411,-0.48538,-0.10883, 8.02099,-3.33589, 3.27630
 1.23141, 0.81873,-0.49179,-0.10483, 7.92826,-3.30354, 3.29007
 1.23250, 0.81326,-0.49804,-0.10069, 7.83221,-3.26608, 3.30574
 1.23358, 0.80771,-0.50413,-0.09645, 7.73326,-3.22514, 3.32346
 1.23467, 0.80210,-0.51002,-0.09214, 7.63143,-3.18083, 3.34266
 1.23576, 0.79644,-0.51566,-0.08777, 7.52649,-3.13223, 3.36233
 1.23685, 0.79074,-0.52105,-0.08332, 7.41812,-3.07860, 3.38246
 1.23794, 0.78496,-0.52623,-0.07877, 7.30638,-3.01997, 3.40309
 1.23902, 0.77909,-0.53123,-0.07410, 7.20134,-2.95726, 3.42355
 1.24011, 0.79121,-0.47271,-0.10613, 7.09890,-2.89177, 3.44351
 1.24531, 0.78488,-0.47836,-0.10024, 6.98942,-2.80970, 3.46290
 1.24640, 0.77857,-0.48381,-0.09437, 6.88337,-2.72474, 3.48104
 1.24749, 0.77227,-0.48905,-0.08849, 6.78096,-2.63714, 3.49762
 1.24857, 0.76600,-0.49410,-0.08262, 6.68263,-2.54774, 3.51355
 1.24966, 0.75978,-0.49897,-0.07679, 6.58854,-2.45759, 3.52856
 1.25075, 0.75361,-0.50368,-0.07102, 6.49860,-2.36718, 3.54158
 1.25183, 0.74748,-0.50826,-0.06530, 6.41267,-2.27669, 3.55198
 1.25292, 0.74142,-0.51271,-0.05964, 6.33048,-2.18597, 3.55911
 1.25401, 0.73542,-0.51707,-0.05406, 6.25156,-2.09435, 3.56268
 1.25510, 0.72950,-0.52135,-0.04855, 6.19356,-2.01462, 3.55703
 1.25618, 0.73870,-0.46696,-0.07200, 6.13993,-1.93960, 3.54754
