timer,roll,pitch,yaw,accel_x,accel_y,accel_z
 1.45947, 0.37181,-0.94191, 0.43912, 1.85798,-0.45991, 0.63282
 1.46055, 0.35800,-0.95235, 0.45153, 1.86017,-0.50023, 0.61448
 1.46164, 0.34295,-0.96298, 0.46525, 1.86114,-0.54580, 0.59561
 1.46272, 0.32654,-0.97378, 0.48037, 1.86070,-0.59661, 0.57640
 1.46381, 0.33202,-0.97715, 0.46076, 1.85819,-0.65579, 0.55880
 1.46907, 0.30643,-0.99096, 0.48524, 1.84386,-0.73975, 0.53497
 1.47015, 0.27897,-1.00452, 0.51161, 1.82632,-0.82878, 0.51028
 1.47124, 0.24958,-1.01773, 0.53997, 1.80595,-0.92145, 0.48518
 1.47232, 0.21821,-1.03049, 0.57039, 1.78274,-1.01722, 0.45998
 1.47341, 0.18486,-1.04268, 0.60290, 1.75668,-1.11555, 0.43485
 1.47450, 0.14953,-1.05421, 0.63749, 1.72774,-1.21590, 0.40991
 1.47558, 0.11225,-1.06497, 0.67417, 1.69579,-1.31761, 0.38550
 1.47667, 0.07308,-1.07487, 0.71289, 1.66084,-1.41996, 0.36193
 1.47776, 0.03213,-1.08382, 0.75355, 1.62286,-1.52229, 0.33948
 1.47884,-0.01041,-1.09171, 0.79599, 1.58108,-1.60942, 0.32251
 1.47993,-0.03273,-1.09958, 0.81061, 1.53675,-1.69358, 0.30763
 1.48516,-0.08100,-1.10426, 0.86105, 1.48023,-1.77315, 0.30372
 1.48625,-0.12941,-1.10745, 0.91202, 1.42175,-1.84791, 0.30345
 1.48734,-0.17755,-1.10912, 0.96314, 1.36206,-1.91747, 0.30647
 1.48842,-0.22499,-1.10932, 1.01397, 1.30137,-1.98150, 0.31287
 1.48951,-0.27136,-1.10809, 1.06412, 1.23997,-2.03966, 0.32270
 1.49059,-0.31627,-1.10549, 1.11323, 1.17812,-2.09158, 0.33590
 1.49168,-0.35941,-1.10160, 1.16099, 1.11612,-2.13700, 0.35246
 1.49277,-0.40053,-1.09652, 1.20712, 1.05427,-2.17577, 0.37231
 1.49385,-0.43941,-1.09034, 1.25141, 0.99288,-2.20762, 0.39543
 1.49494,-0.47591,-1.08317, 1.29374, 0.94245,-2.21259, 0.42717
 1.49603,-0.50094,-1.07829, 1.32449, 0.89444,-2.20994, 0.46200
 1.50127,-0.52967,-1.06784, 1.36251, 0.84607,-2.18640, 0.50636
